categoria;producto;unidad;precio;disponible
FRUTAS;Palta;kg;2500;SI
LIQUIDOS;Agua Benedictino 1,5 Lt C/G ;UN;1300;SI
LIQUIDOS;Agua Benedictino 1,5 Lt S/G ;UN;1300;SI
LIQUIDOS;Agua Benedictino 1,8 Lt Sabores;UN;1600;SI
LIQUIDOS;Agua Benedictino 2 Lt Frutilla;UN;1600;SI
LIQUIDOS;Agua Benedictino 2 Lt Frutos Rojos;UN;1600;SI
LIQUIDOS;Agua Benedictino 2 Lt Limonada Jengibre;UN;1600;SI
LIQUIDOS;Agua Benedictino 2 Lt Manzana;UN;1600;SI
LIQUIDOS;Agua Benedictino 2 Lt Pera;UN;1600;SI
LIQUIDOS;Agua Benedictino 3 Lt C/G;UN;1600;SI
LIQUIDOS;Agua Benedictino 3 Lt S/G;UN;1600;SI
LIQUIDOS;Agua Benedictino 500 ml C/G ;UN;950;SI
LIQUIDOS;Agua Benedictino 500 ml Frutos Rojos;UN;1300;SI
LIQUIDOS;Agua Benedictino 500 ml Manzana;UN;1300;SI
LIQUIDOS;Agua Benedictino 500 ml Pera;UN;1300;SI
LIQUIDOS;Agua Benedictino 500 ml S/G;UN;950;SI
LIQUIDOS;Agua Benedictino Bidón 6,5 Lt;UN;1990;SI
LIQUIDOS;Agua Guallarauco 1 Lt Sabores;UN;2200;SI
LIQUIDOS;Agua Guallarauco 500 ml Aloe Vera;UN;1700;SI
LIQUIDOS;Agua Guallarauco 500 ml Saborizada;UN;1700;SI
LIQUIDOS;Agua Pinch Limón 500 ml;UN;1600;SI
LIQUIDOS;Agua Pinch Naranja 500 ml;UN;1600;SI
LIQUIDOS;Agua Saborizada 5 Lt ;UN;6200;SI
LIQUIDOS;Agua Vital 1,6 Lt C/G;UN;1300;SI
LIQUIDOS;Agua Vital 1,6 Lt S/G ;UN;1300;SI
LIQUIDOS;Agua Vital 600 ml C/G;UN;900;SI
LIQUIDOS;Agua Vital 600 ml S/G;UN;900;SI
LIQUIDOS;Agua Vital 990 ml;UN;1500;SI
LIQUIDOS;Aqua Rius 1,6 Lt Limonada;UN;2700;SI
LIQUIDOS;Aqua Rius 1,6 Lt Manzana;UN;2700;SI
LIQUIDOS;Aqua Rius 1,6 Lt Uva;UN;2700;SI
LIQUIDOS;Aqua Rius 500 ml Pera;UN;1700;SI
LIQUIDOS;Aqua Rius 500 ml Uva;UN;1700;SI
LIQUIDOS;Bebida en Lata 220 ml;UN;800;SI
LIQUIDOS;Bebida en Lata 350 ml;UN;1300;SI
LIQUIDOS;Bebida Power Ade Frozen Blast 1,1 Lt;UN;2000;SI
LIQUIDOS;Bebida Power Ade Frozen Blast 850 ml ;UN;1900;SI
LIQUIDOS;Bebida Power Ade Frozen Blast Z/C 1,1 Lt;UN;2000;SI
LIQUIDOS;Bebida Power Ade Lima Limón Z/C 1,1 Lt;UN;2000;SI
LIQUIDOS;Bebida Power Ade Naranja 1,1 Lt;UN;2000;SI
LIQUIDOS;Bebida Power Ade Rojo 1,1 Lt;UN;2000;SI
LIQUIDOS;Bebida Power Ade Uva Z/C 1,1 Lt;UN;2000;SI
LIQUIDOS;Bidón Benedictino 20 Lt - Deshabilitado;UN;4500;SI
LIQUIDOS;Coca-Cola 1 Lt 1/5;UN;2500;SI
LIQUIDOS;Coca-Cola 1,5 Lt Zero;UN;2500;SI
LIQUIDOS;Coca-Cola 2 Lt Zero;UN;2900;SI
LIQUIDOS;Coca-Cola 2,5 Lt Zero;UN;3300;SI
LIQUIDOS;Coca-Cola 3 Lt Zero;UN;3700;SI
LIQUIDOS;Coca-Cola 591 ml Zero;UN;1500;SI
LIQUIDOS;Don Limón - Deshabilitado;UN;1800;SI
LIQUIDOS;Ionex 1L - Deshabilitado;UN;3000;SI
LIQUIDOS;Ionex 330 - Deshabilitado;UN;2000;SI
LIQUIDOS;Jugo del Valle 1,5 Lt Durazno;UN;2200;SI
LIQUIDOS;Jugo del Valle 1,5 Lt Frutilla S/A;UN;2200;SI
LIQUIDOS;Jugo del Valle 1,5 Lt Kiwi S/A;UN;2200;SI
LIQUIDOS;Jugo del Valle 1,5 Lt Manzana;UN;2200;SI
